id,treat,month,post,treatxpost,frq_purchases,qty_purchases,val_purchases
1,0,1,0,0,2,5,103.53064681549543
1,0,2,0,0,2,2,91.27885203
1,0,3,0,0,2,2,105.05054620181977
1,0,4,0,0,1,2,102.46239435775549
1,0,5,0,0,2,2,106.86223578830227
1,0,6,0,0,5,1,108.3309927204887
1,0,7,0,0,0,3,102.6734519272322
1,0,8,0,0,1,2,100.56412412333745
1,0,9,0,0,1,5,113.94773828063292
1,0,10,0,0,3,3,101.62097632889302
1,0,11,0,0,2,4,105.82140009547732
1,0,12,0,0,2,3,100.61127611035347
1,0,13,0,0,3,3,113.31717745475852
1,0,14,0,0,1,5,111.14382988802437
1,0,15,0,0,0,2,116.40645538513184
1,0,16,0,0,1,1,104.61292166142621
1,0,17,0,0,4,4,102.19558022832477
1,0,18,0,0,1,1,113.58930973527389
1,0,19,1,0,0,4,106.09997832941029
1,0,20,1,0,1,2,108.68297077566363
1,0,21,1,0,1,2,94.29366329965464
1,0,22,1,0,2,2,105.87806179332856
1,0,23,1,0,2,2,111.79254451153422
1,0,24,1,0,0,3,123.73998464225161
1,0,25,1,0,1,5,115.53919270167403
1,0,26,1,0,5,5,118.16256396413941
1,0,27,1,0,0,2,110.77481192326454
1,0,28,1,0,1,5,107.66308849243832
1,0,29,1,0,0,5,111.55317621527894
1,0,30,1,0,2,1,119.24801048510513
1,0,31,1,0,1,3,112.35149571367444
1,0,32,1,0,3,5,120.38377324976163
1,0,33,1,0,2,1,120.32239117662856
1,0,34,1,0,2,3,111.44418093627951
1,0,35,1,0,3,5,119.46020944866298
1,0,36,1,0,1,3,117.37737376203158
2,1,1,0,0,3,3,98.78705565884677
2,1,2,0,0,2,4,102.24657270810978
2,1,3,0,0,3,1,105.94492147138577
2,1,4,0,0,2,5,104.48032116612937
2,1,5,0,0,4,4,104.72753450640693
2,1,6,0,0,1,5,95.69121671982138
2,1,7,0,0,1,3,110.89126057411232
2,1,8,0,0,1,2,99.60266079876621
2,1,9,0,0,3,1,108.75972233782342
